Handle,Title,description,SKU,Meta Title,Meta Keywords,Meta Description,Published,Published At,Discontinue,Discontinue At,Price,Promotionable,Taxon Permalink,Taxon Name,Property Name,Property Value,Image Src,Stock,Stock Location Name,Variant SKU,Variant Cost Price,Variant Image,Image Alt Text,Variant Weight,Variant Height,Variant Depth,Variant Width,Option1 Name,Option1 Value,Option1 Presentation,Option2 Name,Option2 Value,Option2 Presentation,Option3 Name,Option3 Value,Option3 Presentation
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,hay-containment/net-wrap,Net Wrap,,,,0,default,,,,,0,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,Width,"64""",,0,default,,,,,0,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,Length,7000',,0,default,,,,,0,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,Fits,5 ft. Balers,,0,default,,,,,0,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,Brand,Bridon,,0,default,,,,,0,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,,,,0,Agazon,,0,,,0,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,,,,24,Agazon,01.06.64-7000.WHT,,,,80,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,,,,24,Agazon,01.06.64-7000.WHT,,https://agazon-storage.nyc3.digitaloceanspaces.com/spree/images/attachments/000/000/659/original/01.06.64-7000-WHITE_Bridon-Magnet-Net-Wrap-White--64x7000--Front-Sleeve.jpg?1618241486,roll of white net wrap in sleeve,80,,,,color,White,White,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,,,,24,Agazon,01.06.64-7000.GRN,,,,80,,,,,,,,,,,,
bridon-magnet-net-wrap-64x7000,Bridon Magnet Net Wrap 64x7000,"<p>Magnet is Bridon&#39;s standard net wrap line with red indicator stripes.</p>
",,Bridon Magnet Net Wrap 64x7000,"bridon, magnet, 64x7000, 64 in wrap, 64 in net, 64 wrap, 64 wrap, net wrap, white net wrap, bridon magnet, netwrap, bridon wrap, bridon net, magnet net, magnet wrap, hay wrap, cover hay, bale net, bridon magnet wrap, bridon magnet net",Bridon Magnet Net Wrap 64x7000,TRUE,2021-04-23 00:00:00 UTC,FALSE,,205,TRUE,,,,,,24,Agazon,01.06.64-7000.GRN,,https://agazon-storage.nyc3.digitaloceanspaces.com/spree/images/attachments/000/000/657/original/01.06.64-7000-GREEN_Bridon-Magnet-Net-Wrap--64x7000--Front-Sleeve.jpg?1618241453,Roll of green net wrap in sleeve,80,,,,color,Green,Green,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,farm-supplies/accessories/roller-chains,Roller Chains,,,,0,default,,,,,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,,,,0,default,15.02.S06503,12.78,https://agazon-storage.nyc3.digitaloceanspaces.com/spree/images/attachments/000/000/450/original/15.02.S06503_Roller-Chain-No-50-H-Box.jpg?1617990929,roller chain in box,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,,,,0,default,15.02.S06503,12.78,https://agazon-storage.nyc3.digitaloceanspaces.com/spree/images/attachments/000/000/451/original/15.02.S06503_Roller-Chain-No-50-H-Front.jpg?1617990929,roller chain,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,Chain Number,50,,0,default,,,,,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,Chain Length,10 ft.,,0,default,,,,,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,Pitch,"5/8""",,0,default,,,,,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,Manufacturer Part Number,S06503,,0,default,,,,,7.8,,,,,,,,,,,,
roller-chain-50h,Roller Chain No. 50-H,"<p>Manufactured to meet or exceed ANSI Standards. Solid rollers maximize the product life cycle and welded bushings assure quality.</p>
",15.02.S06503,No. 50-H Roller Chain S06503,"S06503, roll, roll chain, roller, roller chain, chain, roller chain number 50-h, 50 heavy chain",No. 50-H Roller Chain S06503,TRUE,2021-04-23 00:00:00 UTC,FALSE,,22.53,TRUE,,,,,,5,Agazon,15.02.S06503,12.78,,,7.8,,,,,,,,,,,,
cat-1-2-top-link-3-4-1x16,"Cat. 1-2 Top Link 3/4"" & 1"" x 16"" ","<p>Transfer the weight of your equipment to the wheels of your tractor and cut down on fuel and power with this forged top link.</p>
",12.02.S01067000,"Cat. 1-2 Top Link 3/4"" & 1"" x 16"" S01067000","s01067000, category 1, category 2, top, link, top link, toplink, cat 1 top, cat 2 top, cat 1 link, cat 2 link","s01067000 Cat. 1-2 Top Link 3/4"" & 1"" x 16""",TRUE,2021-04-23 00:00:00 UTC,FALSE,,26.65,TRUE,farm-supplies/accessories/tractor-3-point,Tractor 3-Point,,,,0,default,,,,,9.1,,,,,,,,,,,,
